Land,Deutschlernende gesamt 2020 ,Gesamtzahl Schüler*innen im Gastland 2020,Schulen mit Fremdsprachenunterricht 2020 ,Schulen mit DaF 2020 ,Deutschlehrkräfte 2020 ,DaF-Lernende Schulbereich 2020 ,Zuwachs/ Rückgang der DaF-Lernenden im Schulbereich im Vergleich 2015 zu 2020,Hochschulen mit Deutsch allgemein 2020 ,Deutsch lernende Studierende 2020 ,Zuwachs/ Rückgang der Deutsch lernenden Studierenden im Vergleich 2015 zu 2020,Außerschulische/ außeruniversitäre DaF-Einrichtungen 2020 ,DaF-Lernende an außerschulischen/ außeruniversitären Einrichtungen 2020 ,DaF-Lernende an Goethe-Instituten 2020 ,Perspektive Schulbereich [Trend von 2015 zu 2020] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Südkorea (Republik Korea),34194,6635855,20967,49,31,5474,-6184,100,24121,15275,20,k.A.,4599,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tadschikistan,36979,1970000,3750,35,250,32000,-30,20,4000,214,12,k.A.,979,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tansania,910,4300000,4000,3,6,250,,0,0,-15,2,150,510,k.A. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,17846,10284820,42855,48,73,8075,4434,14,2120,474,22,750,6901,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Togo,79685,2457616,5213,528,473,61667,-22328,2,14274,7304,1,8,3736,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tschechische Republik,352980,1747747,5536,3398,6832,350558,34149,54,k.A.,,k.A.,k.A.,2422,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunesien,47897,2020588,6000,543,487,39758,3908,22,1839,74,80,4000,2300,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,31614,1236700,k.A.,55,k.A. ,30593,,3,k.A.,,k.A. ,k.A.,1021,k.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Türkei,184419,17885248,55493,k.A.,6543,169441,-280559,53,k.A.,,k.A.,k.A.,14978,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,7704,k.A.,k.A.,14,37,6104,4604,2,600,200,4,k.A.,1000,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,669043,5536643,17636,5236,5581,627531,-11512,100,29000,-38417,41,6512,6000,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ungarn,323072,1469172,3745,2700,5488,314478,-112092,56,6356,743,k.A.,k.A.,2238,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,3955,683346,k.A.,7,97,2202,581,2,144,-6,5,205,1404,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,421735,54110970,17778,1548,172500,330898,-69102,990,80594,-15755,59,6040,4203,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Usbekistan,406166,5835694,9691,1276,3254,361767,-110601,48,39043,7043,15,1850,3506,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela,5232,7623892,k.A.,4,36,1962,-823,4,167,-100,3,1678,1425,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vereinigte  Arabische Emirate,7707,287725,624,6,12,k.A.,,3,775,528,9,5632,1300,k.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam SR,13740,15923710,22735,30,52,3196,1237,6,1632,-289,k.A.,k.A.,8912,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zentralafrikanische Republik,2530,1313865,219,5,4,2460,,0,0,,1,70,0,k.A. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zypern (Republik),2045,110694,527,21,16,1120,,3,200,-218,27,305,420,k.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summe 2020,15453528,,,,,13399937,,,1270921,,,473994,308676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anmerkungen:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 Angola: Theoretisch sollte es mehr als 1 Deutsch lernende Person geben. Für alle Bereiche außer dem außerschul./außeruniv. Bereich sind jedoch keine genauen Angaben möglich.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 Benin: Die Gesamtanzahl an Schüler*innen im Gastland bezieht sich in der aktuellen Abfrage nur auf Schüler*innen an öffentlichen Sekundarschulen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3 China VR und Hongkong: In 2015 wurde Hongkong zu China gezählt. Für 2020 sind China VR und HK getrennt aufgeführt. Werte von 2015 wurden darum soweit möglich von den ausfüllenden Personen ergänzt, sind aber teilw. rückwirkend geschätzt.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 Kroatien: Die Angaben für außerschul./ außeruniv. DaF-Einrichtungen beziehen sich nur auf Zagreb.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5 Philippinen: Für die Schulen mit Fremdsprachenunterricht wurde Englisch nicht als Fremdsprache gezählt, da sowohl Filipino/ Tagalog als auch Englisch Amtssprachen sind.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 Tschech. Rep.: Es konnten keine genauen Angaben zu Deutsch lernenden Studierenden gemacht werden. Es konnten aber 9238 DaF-Studierende an gut der Hälfte der befragten Hochschulen erfasst werden.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 U.S.A.: Der hier angegebene Wert der Anzahl aller Deutschlehrkräfte bezieht sich auf die Lehrkräfte aller Fremdsprachen (Quelle: FLE Report). Geschätzt gibt es ca. 20.000 DaF-Lehrkräfte in den USA.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legende Perspektive Schulbereich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
positiver Trend: +,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negativer Trend: -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gleichbleibender Trend: =,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
keine Angabe möglich: k.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
