Land,Deutschlernende gesamt 2020 ,Gesamtzahl Schüler*innen im Gastland 2020,Schulen mit Fremdsprachenunterricht 2020 ,Schulen mit DaF 2020 ,Deutschlehrkräfte 2020 ,DaF-Lernende Schulbereich 2020 ,Zuwachs/ Rückgang der DaF-Lernenden im Schulbereich im Vergleich 2015 zu 2020,Hochschulen mit Deutsch allgemein 2020 ,Deutsch lernende Studierende 2020 ,Zuwachs/ Rückgang der Deutsch lernenden Studierenden im Vergleich 2015 zu 2020,Außerschulische/ außeruniversitäre DaF-Einrichtungen 2020 ,DaF-Lernende an außerschulischen/ außeruniversitären Einrichtungen 2020 ,DaF-Lernende an Goethe-Instituten 2020 ,Perspektive Schulbereich [Trend von 2015 zu 2020] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estland,13731,180037,561,255,289,12857,-3154,9,448,-761,k.A.,k.A. ,426,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finnland,36625,1154736,2974,k.A.,k.A.,33395,-4302,14,2743,-6973,3,314,173,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frankreich,1185680,12891350,62200,8595,6600,1145061,146312,593,36712,-34544,k.A.,k.A.,3907,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabun,4363,766681,290,44,41,4156,,2,180,,2,27,0,k.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgien,33202,575181,2308,401,606,29000,-638,21,2002,,k.A.,k.A.,2200,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,3838,3146779,28355,20,25,2000,1400,3,238,38,1,800,800,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Griechenland,257608,1445682,9400,k.A.,5737,254302,18160,k.A.,k.A.,,5692,k.A.,3306,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Großbritannien,1168380,13300000,30000,4000,2000,1150000,-383840,125,15580,4580,k.A.,k.A.,2800,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,5988,4215965,40000,15,53,3093,-668,3,2140,644,6,755,k.A.,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,1808,5079102,k.A.,2,16,1200,,2,208,,3,400,0,k.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiti,68,3785000,k.A.,k.A.,k.A.,k.A.,,1,k.A.,,1,68,k.A.,k.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,1328,2025566,k.A.,3,24,210,-40,2,280,77,5,838,0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
